Chromosome	WindowPosition	Genes_per_kb
Chr06	57000000	0.0525
Chr06	57500000	0.051
Chr06	58000000	0.056
Chr06	58500000	0.0545
Chr06	59000000	0.0485
Chr06	59500000	0.0485
Chr06	60000000	0.0515
Chr06	60500000	0.052
Chr06	61000000	0.06
Chr06	61500000	0.075
Chr06	62000000	0.0785
Chr06	62500000	0.082
Chr06	63000000	0.0875
Chr06	63500000	0.081
Chr06	64000000	0.084
Chr06	64500000	0.084
Chr06	65000000	0.084
Chr06	65500000	0.078
Chr06	66000000	0.072
Chr06	66500000	0.073
Chr06	67000000	0.0725
Chr06	67500000	0.085
Chr06	68000000	0.0865
Chr06	68500000	0.088
Chr06	69000000	0.09
Chr06	69500000	0.0855
Chr06	70000000	0.0975
Chr06	70500000	0.0985
Chr06	71000000	0.104
Chr06	71500000	0.096
Chr06	72000000	0.0885
Chr06	72500000	0.084
Chr06	73000000	0.0705
Chr06	73500000	0.0805
Chr06	74000000	0.093
Chr06	74500000	0.097
Chr06	75000000	0.1155
Chr06	75500000	0.118
Chr06	76000000	0.111
Chr06	76500000	0.116
Chr06	77000000	0.11
Chr06	77500000	0.111
Chr06	78000000	0.113
Chr06	78500000	0.1075
Chr06	79000000	0.1105
Chr06	79500000	0.114
Chr06	80000000	0.1215
Chr06	80500000	0.1425
Chr06	81000000	0.1525
Chr06	81500000	0.151
Chr06	82000000	0.1325
Chr06	82500000	0.1215
Chr06	83000000	0.119
Chr06	83500000	0.1195
Chr07	1000000	0.1245
Chr07	1500000	0.127
Chr07	2000000	0.1235
Chr07	2500000	0.1265
Chr07	3000000	0.1215
Chr07	3500000	0.116
Chr07	4000000	0.109
Chr07	4500000	0.1085
Chr07	5000000	0.108
Chr07	5500000	0.1085
Chr07	6000000	0.1025
Chr07	6500000	0.098
Chr07	7000000	0.093
Chr07	7500000	0.1005
Chr07	8000000	0.1
Chr07	8500000	0.094
Chr07	9000000	0.102
Chr07	9500000	0.0875
Chr07	10000000	0.081
Chr07	10500000	0.078
Chr07	11000000	0.072
Chr07	11500000	0.0815
Chr07	12000000	0.0925
Chr07	12500000	0.094
Chr07	13000000	0.098
Chr07	13500000	0.089
Chr07	14000000	0.089
Chr07	14500000	0.09
Chr07	15000000	0.0875
Chr07	15500000	0.0875
Chr07	16000000	0.0825
Chr07	16500000	0.0785
Chr07	17000000	0.0755
Chr07	17500000	0.0795
Chr07	18000000	0.08
Chr07	18500000	0.0795
Chr07	19000000	0.0815
Chr07	19500000	0.0815
Chr07	20000000	0.0855
Chr07	20500000	0.0915
Chr07	21000000	0.0935
Chr07	21500000	0.088
Chr07	22000000	0.086
Chr07	22500000	0.0845
Chr07	23000000	0.0815
Chr07	23500000	0.08
Chr07	24000000	0.0785
Chr07	24500000	0.074
Chr07	25000000	0.071
Chr07	25500000	0.071
Chr07	26000000	0.0655
Chr07	26500000	0.0635
Chr07	27000000	0.058
Chr07	27500000	0.0515
Chr07	28000000	0.043
Chr07	28500000	0.0435
Chr07	29000000	0.0495
Chr07	29500000	0.057
Chr07	30000000	0.065
Chr07	30500000	0.0615
Chr07	31000000	0.053
Chr07	31500000	0.05
Chr07	32000000	0.041
Chr07	32500000	0.0435
Chr07	33000000	0.0485
Chr07	33500000	0.046
Chr07	34000000	0.0525
Chr07	34500000	0.0485
Chr07	35000000	0.044
Chr07	35500000	0.049
Chr07	36000000	0.046
Chr07	36500000	0.048
Chr07	37000000	0.053
Chr07	37500000	0.0495
Chr07	38000000	0.0515
Chr07	38500000	0.0515
Chr07	39000000	0.0475
Chr07	39500000	0.0435
Chr07	40000000	0.043
Chr07	40500000	0.037
Chr07	41000000	0.0335
Chr07	41500000	0.0315
Chr07	42000000	0.0315
Chr07	42500000	0.034
Chr07	43000000	0.0355
Chr07	43500000	0.037
Chr07	44000000	0.03
Chr07	44500000	0.0255
Chr07	45000000	0.022
Chr07	45500000	0.0145
Chr07	46000000	0.0155
Chr07	46500000	0.0175
Chr07	47000000	0.013
Chr07	47500000	0.0185
Chr07	48000000	0.018
Chr07	48500000	0.0175
Chr07	49000000	0.022
Chr07	49500000	0.0205
Chr07	50000000	0.0265
Chr07	50500000	0.0275
Chr07	51000000	0.0275
Chr07	51500000	0.0275
Chr07	52000000	0.0245
Chr07	52500000	0.025
Chr07	53000000	0.028
Chr07	53500000	0.0285
Chr07	54000000	0.029
Chr07	54500000	0.0275
Chr07	55000000	0.0255
Chr07	55500000	0.028
Chr07	56000000	0.0285
Chr07	56500000	0.0325
Chr07	57000000	0.032
Chr07	57500000	0.034
Chr07	58000000	0.039
Chr07	58500000	0.059
Chr07	59000000	0.083
Chr07	59500000	0.0945
Chr07	60000000	0.106
Chr07	60500000	0.1095
Chr07	61000000	0.106
Chr07	61500000	0.106
Chr07	62000000	0.102
Chr07	62500000	0.0965
Chr07	63000000	0.0935
Chr07	63500000	0.1035
Chr07	64000000	0.113
Chr07	64500000	0.115
Chr07	65000000	0.1225
Chr07	65500000	0.1205
Chr07	66000000	0.12
Chr07	66500000	0.121
Chr07	67000000	0.106
Chr07	67500000	0.0905
Chr07	68000000	0.0875
Chr07	68500000	0.0815
Chr07	69000000	0.09
Chr07	69500000	0.1
Chr07	70000000	0.0915
Chr07	70500000	0.0865
Chr07	71000000	0.0795
Chr07	71500000	0.079
Chr07	72000000	0.085
Chr07	72500000	0.094
Chr07	73000000	0.1045
Chr07	73500000	0.1085
Chr07	74000000	0.112
Chr07	74500000	0.1105
Chr07	75000000	0.099
Chr07	75500000	0.093
Chr07	76000000	0.083
Chr07	76500000	0.089
Chr07	77000000	0.1055
Chr07	77500000	0.1095
Chr07	78000000	0.1235
Chr07	78500000	0.12
Chr07	79000000	0.115
Chr07	79500000	0.126
Chr07	80000000	0.1185
Chr07	80500000	0.1295
Chr07	81000000	0.1355
Chr07	81500000	0.135
Chr08	1000000	0.149
Chr08	1500000	0.149
Chr08	2000000	0.141
Chr08	2500000	0.134
Chr08	3000000	0.124
Chr08	3500000	0.122
Chr08	4000000	0.125
Chr08	4500000	0.129
Chr08	5000000	0.1295
Chr08	5500000	0.126
Chr08	6000000	0.1245
Chr08	6500000	0.1215
Chr08	7000000	0.121
Chr08	7500000	0.113
Chr08	8000000	0.1145
Chr08	8500000	0.116
Chr08	9000000	0.121
Chr08	9500000	0.122
Chr08	10000000	0.1155
Chr08	10500000	0.1085
Chr08	11000000	0.104
Chr08	11500000	0.1125
Chr08	12000000	0.118
Chr08	12500000	0.1175
Chr08	13000000	0.108
Chr08	13500000	0.0915
Chr08	14000000	0.0885
Chr08	14500000	0.088
Chr08	15000000	0.1005
Chr08	15500000	0.104
Chr08	16000000	0.1075
Chr08	16500000	0.116
Chr08	17000000	0.1025
Chr08	17500000	0.11
Chr08	18000000	0.1095
Chr08	18500000	0.0995
Chr08	19000000	0.1045
Chr08	19500000	0.0995
Chr08	20000000	0.0875
Chr08	20500000	0.087
Chr08	21000000	0.078
Chr08	21500000	0.0785
Chr08	22000000	0.0775
Chr08	22500000	0.0755
Chr08	23000000	0.08
Chr08	23500000	0.078
Chr08	24000000	0.086
Chr08	24500000	0.0885
Chr08	25000000	0.09
Chr08	25500000	0.0875
Chr08	26000000	0.084
Chr08	26500000	0.076
Chr08	27000000	0.064
Chr08	27500000	0.064
Chr08	28000000	0.0605
Chr08	28500000	0.0605
Chr08	29000000	0.07
Chr08	29500000	0.0645
Chr08	30000000	0.0565
Chr08	30500000	0.0575
Chr08	31000000	0.056
Chr08	31500000	0.0585
Chr08	32000000	0.0655
Chr08	32500000	0.0675
Chr08	33000000	0.059
Chr08	33500000	0.0555
Chr08	34000000	0.0525
Chr08	34500000	0.0515
Chr08	35000000	0.05
Chr08	35500000	0.0515
Chr08	36000000	0.054
Chr08	36500000	0.0575
Chr08	37000000	0.0605
Chr08	37500000	0.065
Chr08	38000000	0.0605
Chr08	38500000	0.056
Chr08	39000000	0.064
Chr08	39500000	0.0645
Chr08	40000000	0.0585
Chr08	40500000	0.0545
Chr08	41000000	0.0455
Chr08	41500000	0.038
Chr08	42000000	0.041
Chr08	42500000	0.0455
Chr08	43000000	0.0475
Chr08	43500000	0.0475
Chr08	44000000	0.0435
Chr08	44500000	0.035
Chr08	45000000	0.0315
Chr08	45500000	0.0285
Chr08	46000000	0.0275
Chr08	46500000	0.026
Chr08	47000000	0.0265
Chr08	47500000	0.0225
Chr08	48000000	0.025
Chr08	48500000	0.0265
Chr08	49000000	0.0265
Chr08	49500000	0.0295
Chr08	50000000	0.034
Chr08	50500000	0.034
Chr08	51000000	0.032
Chr08	51500000	0.033
Chr08	52000000	0.027
Chr08	52500000	0.0265
Chr08	53000000	0.03
Chr08	53500000	0.032
Chr08	54000000	0.094
Chr08	54500000	0.206
Chr08	55000000	0.2635
Chr08	55500000	0.262
Chr08	56000000	0.2075
Chr08	56500000	0.1015
Chr08	57000000	0.047
Chr08	57500000	0.05
Chr08	58000000	0.058
Chr08	58500000	0.0725
Chr08	59000000	0.0695
Chr08	59500000	0.0775
Chr08	60000000	0.08
Chr08	60500000	0.0765
Chr08	61000000	0.0925
Chr08	61500000	0.097
Chr08	62000000	0.09
Chr08	62500000	0.0925
Chr08	63000000	0.0835
Chr08	63500000	0.0735
Chr08	64000000	0.0765
Chr08	64500000	0.068
Chr08	65000000	0.0735
Chr08	65500000	0.075
Chr08	66000000	0.0765
Chr08	66500000	0.0775
Chr08	67000000	0.0745
Chr08	67500000	0.073
Chr08	68000000	0.074
Chr08	68500000	0.079
Chr08	69000000	0.0885
Chr08	69500000	0.0965
Chr08	70000000	0.0945
Chr08	70500000	0.0975
Chr08	71000000	0.082
Chr08	71500000	0.0885
Chr08	72000000	0.0955
Chr08	72500000	0.096
Chr08	73000000	0.1
Chr08	73500000	0.0945
Chr08	74000000	0.0865
Chr08	74500000	0.0895
Chr08	75000000	0.095
Chr08	75500000	0.093
Chr08	76000000	0.101
Chr08	76500000	0.0885
Chr08	77000000	0.091
Chr08	77500000	0.098
Chr08	78000000	0.1
Chr09	1000000	0.1255
Chr09	1500000	0.127
Chr09	2000000	0.118
Chr09	2500000	0.1165
Chr09	3000000	0.1065
Chr09	3500000	0.0995
Chr09	4000000	0.1045
Chr09	4500000	0.101
Chr09	5000000	0.1055
Chr09	5500000	0.111
Chr09	6000000	0.0985
Chr09	6500000	0.1025
Chr09	7000000	0.0935
Chr09	7500000	0.092
Chr09	8000000	0.0955
Chr09	8500000	0.0845
Chr09	9000000	0.092
Chr09	9500000	0.0815
Chr09	10000000	0.0725
Chr09	10500000	0.074
Chr09	11000000	0.0655
Chr09	11500000	0.0635
Chr09	12000000	0.068
Chr09	12500000	0.0685
Chr09	13000000	0.063
Chr09	13500000	0.0735
Chr09	14000000	0.0795
Chr09	14500000	0.0865
Chr09	15000000	0.0875
Chr09	15500000	0.0755
Chr09	16000000	0.0735
Chr09	16500000	0.071
Chr09	17000000	0.067
Chr09	17500000	0.0745
Chr09	18000000	0.0745
Chr09	18500000	0.0665
Chr09	19000000	0.0725
Chr09	19500000	0.067
Chr09	20000000	0.0605
Chr09	20500000	0.059
Chr09	21000000	0.0625
Chr09	21500000	0.0585
Chr09	22000000	0.055
Chr09	22500000	0.0565
Chr09	23000000	0.0505
Chr09	23500000	0.052
Chr09	24000000	0.0525
Chr09	24500000	0.046
Chr09	25000000	0.0465
Chr09	25500000	0.042
Chr09	26000000	0.045
Chr09	26500000	0.0535
Chr09	27000000	0.0465
Chr09	27500000	0.052
Chr09	28000000	0.0485
Chr09	28500000	0.0385
Chr09	29000000	0.04
Chr09	29500000	0.035
Chr09	30000000	0.0365
Chr09	30500000	0.047
Chr09	31000000	0.045
Chr09	31500000	0.041
Chr09	32000000	0.0395
Chr09	32500000	0.035
Chr09	33000000	0.0355
Chr09	33500000	0.0425
Chr09	34000000	0.0425
Chr09	34500000	0.0395
Chr09	35000000	0.0395
Chr09	35500000	0.0355
Chr09	36000000	0.0275
Chr09	36500000	0.0245
Chr09	37000000	0.022
Chr09	37500000	0.0175
Chr09	38000000	0.0245
Chr09	38500000	0.029
Chr09	39000000	0.032
Chr09	39500000	0.04
Chr09	40000000	0.0355
Chr09	40500000	0.034
Chr09	41000000	0.033
Chr09	41500000	0.0325
Chr09	42000000	0.0495
Chr09	42500000	0.0525
Chr09	43000000	0.0615
Chr09	43500000	0.067
Chr09	44000000	0.059
Chr09	44500000	0.062
Chr09	45000000	0.061
Chr09	45500000	0.0595
Chr09	46000000	0.0615
Chr09	46500000	0.0645
Chr09	47000000	0.0635
Chr09	47500000	0.065
Chr09	48000000	0.0565
Chr09	48500000	0.048
Chr09	49000000	0.0495
Chr09	49500000	0.041
Chr09	50000000	0.0495
Chr09	50500000	0.0535
Chr09	51000000	0.0475
Chr09	51500000	0.062
Chr09	52000000	0.063
Chr09	52500000	0.064
Chr09	53000000	0.068
Chr09	53500000	0.0605
Chr09	54000000	0.0655
Chr09	54500000	0.067
Chr09	55000000	0.0735
Chr09	55500000	0.0815
Chr09	56000000	0.077
Chr09	56500000	0.076
Chr09	57000000	0.078
Chr09	57500000	0.0705
Chr09	58000000	0.0695
Chr09	58500000	0.0795
Chr09	59000000	0.0795
Chr09	59500000	0.0885
Chr09	60000000	0.093
Chr09	60500000	0.0895
Chr09	61000000	0.0855
Chr09	61500000	0.0865
Chr09	62000000	0.096
Chr09	62500000	0.0995
Chr09	63000000	0.1055
Chr09	63500000	0.106
Chr09	64000000	0.095
Chr09	64500000	0.0955
Chr09	65000000	0.0935
Chr09	65500000	0.082
Chr09	66000000	0.0825
Chr09	66500000	0.0785
Chr09	67000000	0.0915
Chr09	67500000	0.102
Chr09	68000000	0.111
Chr09	68500000	0.1135
Chr09	69000000	0.101
Chr09	69500000	0.1055
Chr09	70000000	0.109
Chr09	70500000	0.1095
Chr09	71000000	0.118
Chr09	71500000	0.1195
Chr09	72000000	0.116
Chr09	72500000	0.122
Chr09	73000000	0.1185
Chr09	73500000	0.119
Chr10	1000000	0.1435
Chr10	1500000	0.1235
Chr10	2000000	0.116
Chr10	2500000	0.1225
Chr10	3000000	0.121
Chr10	3500000	0.12
Chr10	4000000	0.088
Chr10	4500000	0.0795
Chr10	5000000	0.082
Chr10	5500000	0.089
Chr10	6000000	0.1155
Chr10	6500000	0.1185
Chr10	7000000	0.1055
Chr10	7500000	0.1065
Chr10	8000000	0.107
Chr10	8500000	0.104
Chr10	9000000	0.1145
Chr10	9500000	0.105
Chr10	10000000	0.103
Chr10	10500000	0.093
Chr10	11000000	0.0785
Chr10	11500000	0.087
Chr10	12000000	0.08
Chr10	12500000	0.0765
Chr10	13000000	0.0835
Chr10	13500000	0.0795
Chr10	14000000	0.081
Chr10	14500000	0.0875
Chr10	15000000	0.085
Chr10	15500000	0.0825
Chr10	16000000	0.083
Chr10	16500000	0.075
Chr10	17000000	0.0725
Chr10	17500000	0.069
Chr10	18000000	0.069
Chr10	18500000	0.0695
Chr10	19000000	0.072
Chr10	19500000	0.072
Chr10	20000000	0.071
Chr10	20500000	0.0745
Chr10	21000000	0.0645
Chr10	21500000	0.0625
Chr10	22000000	0.0565
Chr10	22500000	0.053
Chr10	23000000	0.0625
Chr10	23500000	0.0595
Chr10	24000000	0.057
Chr10	24500000	0.0515
Chr10	25000000	0.0445
Chr10	25500000	0.0385
Chr10	26000000	0.038
Chr10	26500000	0.0325
Chr10	27000000	0.0335
Chr10	27500000	0.038
Chr10	28000000	0.0385
Chr10	28500000	0.047
Chr10	29000000	0.044
Chr10	29500000	0.043
Chr10	30000000	0.0375
Chr10	30500000	0.035
Chr10	31000000	0.0325
Chr10	31500000	0.037
Chr10	32000000	0.0395
Chr10	32500000	0.044
Chr10	33000000	0.049
Chr10	33500000	0.041
Chr10	34000000	0.043
Chr10	34500000	0.0385
Chr10	35000000	0.035
Chr10	35500000	0.0345
Chr10	36000000	0.0385
Chr10	36500000	0.037
Chr10	37000000	0.0355
Chr10	37500000	0.0325
Chr10	38000000	0.022
Chr10	38500000	0.0215
Chr10	39000000	0.024
Chr10	39500000	0.0275
Chr10	40000000	0.0245
Chr10	40500000	0.0165
Chr10	41000000	0.007
Chr10	41500000	0.008
Chr10	42000000	0.011
Chr10	42500000	0.0145
Chr10	43000000	0.02
Chr10	43500000	0.022
Chr10	44000000	0.0295
Chr10	44500000	0.0375
Chr10	45000000	0.038
Chr10	45500000	0.0375
Chr10	46000000	0.03
Chr10	46500000	0.034
Chr10	47000000	0.03
Chr10	47500000	0.034
Chr10	48000000	0.0425
Chr10	48500000	0.035
Chr10	49000000	0.0425
Chr10	49500000	0.04
Chr10	50000000	0.037
Chr10	50500000	0.0355
Chr10	51000000	0.0335
Chr10	51500000	0.0285
Chr10	52000000	0.0275
Chr10	52500000	0.025
Chr10	53000000	0.0205
Chr10	53500000	0.0185
Chr10	54000000	0.021
Chr10	54500000	0.023
Chr10	55000000	0.025
Chr10	55500000	0.0405
Chr10	56000000	0.0505
Chr10	56500000	0.065
Chr10	57000000	0.0845
Chr10	57500000	0.092
Chr10	58000000	0.097
Chr10	58500000	0.094
Chr10	59000000	0.0925
Chr10	59500000	0.0955
Chr10	60000000	0.097
Chr10	60500000	0.1075
Chr10	61000000	0.1145
Chr10	61500000	0.107
Chr10	62000000	0.1145
Chr10	62500000	0.1185
Chr10	63000000	0.11
Chr10	63500000	0.1235
Chr10	64000000	0.1215
Chr10	64500000	0.1145
Chr10	65000000	0.129
Chr10	65500000	0.1255
Chr10	66000000	0.132
Chr10	66500000	0.143
Chr10	67000000	0.144
Chr10	67500000	0.1555
Chr10	68000000	0.1495
Chr10	68500000	0.1525
Chr10	69000000	0.147
